,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
115,90423,8.2,2.17e-07,1.55e-08,1.15e-06,4.73e-08,,,,,,,48.6,3.8,3.8,,,48.785457611083984,1.0879439115524292,1.713654046191629e+29,8.585692721173895e+28,8.007849443524207e+52,8.04449329023718e+52,4.612816499725926e+52,8.729227488440217e+51,,,3.8,,,,,,,447.12,34.959999999999994,34.959999999999994,34.959999999999994,,,,,1.4904,0.11653333333333331,0.11653333333333331,0.11653333333333331,,,,,,,0.1733028418881862,0.033957181712599926,0.033957181712599926,0.033957181712599926,,,52.90351589932874,0.43628180952915047,52.663966178488266,0.08218526207866747,,
74,60927,5.6,4.02e-07,1.54e-08,2.37e-06,8.67e-08,,,0.12,0.04,0.094,0.01,72.0,7.0,15.0,0.46,0.12,49.748870849609375,1.2958441972732544,2.6705812679205758e+29,1.593691554272367e+29,3.602861056459948e+53,4.302288977293103e+53,3.218295154458796e+53,6.518324170822817e+52,,,11.0,0.01818181818181818,0.0060606060606060615,0.0696969696969697,0.01818181818181818,0.6204,0.066,475.2,72.6,46.199999999999996,99.0,0.1818181818181818,0.060606060606060615,31.019999999999996,3.3000000000000003,1.5839999999999999,0.242,0.154,0.33,0.696969696969697,0.1818181818181818,-0.7403626894942439,0.14476482730108398,1.491641793477586,0.046201540628005515,0.19975517725347466,0.06635054584633014,0.04222307462948281,0.09047801706317747,-0.15678610386029457,0.11329421267041348,53.55664751397484,0.5186046125873824,53.507625871358606,0.08796185815098091,,
43,50814,5.3,1.04e-07,2.24e-08,3.99e-06,2.65e-07,,,,,-0.009,0.18,60.0,6.0,24.0,,,48.59532165527344,1.1533827781677246,1.5699866502155078e+29,8.339021745688193e+28,3.2213292975122764e+52,3.491662430488992e+52,1.961706943997861e+53,5.442404966195265e+51,,,15.0,,,,,-0.05669999999999999,1.134,378.0,94.5,37.8,151.2,,,-2.8349999999999995,56.699999999999996,1.26,0.315,0.126,0.504,,,,,,8.685889638065037,0.10037054511756291,0.10857362047581294,0.043429448190325175,0.1737177927613007,,,52.50803512245477,0.4707403640482634,53.29263412938916,0.012048723446349968,,
62,60522,5.11,8.73e-08,1.45e-08,2.42e-06,1.43e-07,,,,,0.034,0.185,80.0,12.0,382.0,,,47.73789978027344,0.8694355487823486,1.0578195388788013e+29,4.2354022425855515e+28,1.2275728562346078e+52,1.003938003191918e+52,5.56938433433586e+52,1.6132376392611095e+51,,,197.0,,,,,0.20774000000000004,1.13035,488.8,1203.67,73.32000000000001,2334.02,,,10.387000000000002,56.5175,1.6293333333333333,4.0122333333333335,0.24440000000000003,7.7800666666666665,,,,,1.0164901316208284,2.363072916238281,0.21200994251483538,1.0694501616867575,0.06514417228548777,2.0737561510880274,,,52.089047276861564,0.35517625918888196,52.74580718889387,0.012579850171415335,,
60,060510B,4.9,9.51e-08,1.12e-08,9.98e-06,2.62e-07,,,,,0.11,0.06,95.0,30.0,60.0,,,47.07037353515625,0.6468247175216675,7.778687696935938e+28,2.3170671891616245e+28,7.231078097423684e+51,4.39126609900886e+51,1.2861779645384584e+53,7.30860663173223e+50,,,45.0,,,,,0.649,0.354,560.5,265.5,177.0,354.0,,,32.45,17.7,1.8683333333333334,0.885,0.59,1.18,,,,,1.5112147011363881,0.23688789921995548,0.2714543622113295,0.20571843879627716,0.13714562586418477,0.27429125172836955,,,51.85920305204653,0.26373697112299704,53.10930106475434,0.002467844744721491,,
11,131,4.5,7.3e-07,8.3e-08,,,,,,,0.056,0.005,163.0,13.0,13.0,0.84,0.39,46.869728088378906,0.5410880446434021,7.092139120299921e+28,1.7672210211489353e+28,4.614102272529721e+52,2.3585717198396089e+52,,,,,13.0,,,0.1527272727272727,0.07090909090909091,0.308,0.0275,896.5,71.5,71.5,71.5,,,15.4,1.375,2.9883333333333333,0.23833333333333334,0.23833333333333334,0.23833333333333334,1.5272727272727271,0.709090909090909,,,1.187520720836463,0.03877629302707605,0.47542903917853924,0.03463698321927775,0.03463698321927775,0.03463698321927775,0.18391659656763776,0.20163672374079547,52.66408721651864,0.22199652773145298,,,,
57,060223A,4.41,2.06e-07,1.67e-08,1.51e-06,6.54e-08,,,,,0.036,0.021,71.0,10.0,100.0,0.41,0.23,46.60453414916992,0.4929511249065399,6.276802421734051e+28,1.424911871341337e+28,1.0198915676103186e+52,4.7037958719540954e+51,1.3818676911612628e+52,8.598117705422502e+50,,,55.0,,,0.07578558225508317,0.04251386321626618,0.19476,0.11361000000000002,384.11,297.55,54.1,541.0,,,9.738,5.6805,1.2803666666666667,0.9918333333333333,0.18033333333333335,1.8033333333333332,0.7578558225508316,0.42513863216266173,,,0.9884697702098755,0.2533384477768969,0.10733435910598228,0.33642530288280065,0.06116823688778194,0.6116823688778193,-0.12041340838683405,0.24362861179938522,52.00855400108374,0.2002989980567705,52.14046646290119,0.02702223301191484,,
38,50505,4.27,2.94e-07,2.99e-08,5.23e-06,2.29e-07,,,0.71,0.13,0.076,0.031,70.0,24.0,140.0,0.6,0.21,46.49668884277344,0.4512518644332886,5.972682063129703e+28,1.2411780618732098e+28,1.317941060234663e+52,5.6392112489701814e+51,4.4487677296901263e+52,1.0451457818984044e+51,,,82.0,0.1347248576850095,0.024667931688804556,0.11385199240986718,0.03984819734345351,0.40051999999999993,0.16337,368.9,432.14,126.47999999999999,737.8,1.3472485768500948,0.24667931688804554,20.025999999999996,8.1685,1.2296666666666667,1.4404666666666666,0.4216,2.4593333333333334,1.1385199240986716,0.39848197343453506,0.12944773350652866,0.07951870795411653,1.3015942118293566,0.17714643340790537,0.08978740050714101,0.5087449645152378,0.14890096522397203,0.8685889638065035,0.05634063517109699,0.15200306866613814,52.11989598856815,0.18582608901178246,52.64823973181072,0.010202848821117314,,
55,60206,4.05,4.41e-07,1.63e-08,1.9e-06,5.83e-08,,,0.01,0.03,0.007,0.004,78.0,8.0,23.0,1.16,0.18,46.4083366394043,0.39204224944114685,5.734544885368169e+28,1.0353269360128738e+28,1.822411160083382e+52,6.614825060998763e+51,1.5547837741220115e+52,1.3077537739420883e+51,,,15.5,0.0019801980198019802,0.005940594059405941,0.22970297029702968,0.03564356435643564,0.03535,0.0202,393.9,78.27499999999999,40.4,116.14999999999999,0.019801980198019802,0.0594059405940594,1.7674999999999998,1.01,1.313,0.26091666666666663,0.13466666666666666,0.38716666666666666,2.297029702970297,0.35643564356435636,-1.7032913781186614,1.3028834457097551,0.24735942246893697,0.24816827537328676,0.11826472608947933,0.08630210858333849,0.0445430237849489,0.12806119338172808,0.36116661110825704,0.06739052305395286,52.26064636627618,0.15763632739253328,52.19166999964251,0.036529211145898646,,
41,50730,3.97,1.02e-07,1.58e-08,5.8e-06,2.25e-07,,,,,0.027,0.066,124.0,26.0,26.0,,,46.28614044189453,0.3761414587497711,5.420754223952177e+28,9.38980570227728e+27,3.766426263784899e+51,1.4293310172470071e+51,4.309242184470039e+52,2.6418356604184968e+50,,,26.0,,,,,0.13419,0.32802000000000003,616.2800000000001,129.22000000000003,129.22000000000003,129.22000000000003,,,6.7095,16.401,2.054266666666667,0.4307333333333334,0.4307333333333334,0.4307333333333334,,,,,0.8266901572283383,1.061608733541282,0.3126568191759048,0.09106174620552054,0.09106174620552054,0.09106174620552054,,,51.57592946956635,0.16481155613537532,52.634400902634034,0.002662497488653189,,
